jobId,Job Type,State,Start Time,Duration
job_SijPyJCNG-gU8cTIvSaZEA2wUzA,query,FAILURE,02 Mar 18:10:30,0:00:00
job_9WQvuSPeqz6Box7GRFljcPBVRY4,query,SUCCESS,02 Mar 17:52:59,0:00:25
bquijob_7491b5a1_153386df11c,copy,SUCCESS,02 Mar 17:44:03,0:00:01
bquijob_758147fd_153386a7db2,query,SUCCESS,02 Mar 17:40:17,0:00:34
job_ZQpm8qoqU1lCs_C3_nk9nurT_78,query,SUCCESS,29 Feb 12:44:32,0:00:10
bquijob_6b162094_1532cfa6dc9,query,SUCCESS,29 Feb 12:22:03,0:00:07
bquijob_744b7c5b_1532cfa45f3,query,SUCCESS,29 Feb 12:21:53,0:00:06
bquijob_482fb17d_1532cf9ead4,query,FAILURE,29 Feb 12:21:29,0:00:00
bquijob_37e674c1_1532cf7b3bc,query,SUCCESS,29 Feb 12:19:04,0:00:07
bquijob_1f5f6c72_1532ce2da7b,query,SUCCESS,29 Feb 11:56:19,0:00:06
bquijob_32a79c79_1532ce28d45,query,FAILURE,29 Feb 11:55:58,0:00:00
bquijob_122bb9ad_1532ce22228,query,SUCCESS,29 Feb 11:55:31,0:00:08
bquijob_785c2538_1532ce1886d,query,FAILURE,29 Feb 11:54:52,0:00:30
bquijob_43222e51_1532ce0f965,query,FAILURE,29 Feb 11:54:15,0:00:07
bquijob_2d3018f7_1532ce0441c,query,FAILURE,29 Feb 11:53:28,0:00:00
bquijob_4e85287a_1532cdb8511,query,SUCCESS,29 Feb 11:48:18,0:00:07
bquijob_566531ca_1532cd01a63,query,SUCCESS,29 Feb 11:35:50,0:00:09
job_mRXYmo8bIlc3aVUWyFRpmzKneZw,query,SUCCESS,29 Feb 10:01:51,0:00:05
job_CaVd4uWgwPc8ExGmBNUavBd2A0k,query,SUCCESS,29 Feb 09:54:44,0:00:00
job_qGZuLpLxAwuo2VihVlvOVVTi-0Q,query,SUCCESS,29 Feb 09:54:05,0:00:12
job_fK7g7b9eb0ipzr-iS9HQ3aqc5QY,query,SUCCESS,26 Feb 16:38:52,0:00:00
job_1LuP9F_qfdjb8hDS36sXwdFOWFQ,query,SUCCESS,26 Feb 16:38:32,0:00:00
job_jWEorIISzb8VNHiMVlfyCuTmj28,query,SUCCESS,26 Feb 16:38:17,0:00:00
job_lvA-1PJNkqNhEVWob3KSb7UD94E,query,SUCCESS,26 Feb 16:19:22,0:00:00
bquijob_5acd2de4_1531e53e41b,extract,SUCCESS,26 Feb 16:05:43,0:03:44
bquijob_14771226_1531e50ad02,extract,FAILURE,26 Feb 16:01:57,0:00:00
bquijob_334188ee_1531e4defa9,copy,SUCCESS,26 Feb 15:58:57,0:00:02
bquijob_1c3c5d90_1531e4b5b16,query,SUCCESS,26 Feb 15:56:09,0:01:19
bquijob_100f533a_1531d4df5a1,query,SUCCESS,26 Feb 11:19:23,0:00:02
bquijob_636f4573_1531d4dae9d,query,SUCCESS,26 Feb 11:19:04,0:00:01
bquijob_55a07fe9_1531d4d63f9,query,FAILURE,26 Feb 11:18:44,0:00:00
bquijob_69d3e97b_1531d4ce119,query,FAILURE,26 Feb 11:18:11,0:00:00
bquijob_1d15b3b2_1531d3e60a8,query,SUCCESS,26 Feb 11:02:20,0:00:02
bquijob_1cc7d19_1531d3e2d0e,query,FAILURE,26 Feb 11:02:07,0:00:00
bquijob_601452ae_1531d3d660d,query,SUCCESS,26 Feb 11:01:17,0:00:09
bquijob_3f308d0d_1531d3d0559,query,SUCCESS,26 Feb 11:00:52,0:00:09
bquijob_64cb3413_1531d3c8d86,query,SUCCESS,26 Feb 11:00:21,0:00:07
bquijob_2d9d444f_1531d3b7b36,query,SUCCESS,26 Feb 10:59:11,0:00:06
bquijob_5613bd72_1531d3b672c,query,FAILURE,26 Feb 10:59:06,0:00:00
bquijob_13d36eb7_152eb05f882,query,SUCCESS,16 Feb 16:59:43,0:00:02
bquijob_21167bcc_152eb05b523,query,SUCCESS,16 Feb 16:59:26,0:00:02
bquijob_9dda510_152eb05967f,query,FAILURE,16 Feb 16:59:18,0:00:00
bquijob_e2c8713_152eb0556c5,query,FAILURE,16 Feb 16:59:01,0:00:00
bquijob_15bca0d5_152eb04d96e,query,SUCCESS,16 Feb 16:58:29,0:00:03
bquijob_499e5845_152eb046c41,query,SUCCESS,16 Feb 16:58:02,0:00:02
bquijob_26ba9310_152eb042f88,query,SUCCESS,16 Feb 16:57:46,0:00:02
bquijob_2ca93a5_152eb03f324,query,SUCCESS,16 Feb 16:57:30,0:00:07
bquijob_5ea6ccd3_152eb036458,query,SUCCESS,16 Feb 16:56:54,0:00:02
bquijob_b4af068_152eb032bc9,query,SUCCESS,16 Feb 16:56:39,0:00:03
bquijob_7e88ad88_152eb02b849,query,SUCCESS,16 Feb 16:56:10,0:00:03
bquijob_137d266e_152eb028e5e,query,FAILURE,16 Feb 16:55:59,0:00:03
